rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
60.52,45,215700,215817,0.001,-39.557575469999996,423.7997791290283,2669,0.51,4749,135.75968322753906
59.61,45,215720,215826,0.001,-39.2844579,508.4625059127808,2670,0.52,4752,134.6261993408203
58.75,45,,215840,,-38.4552155,,2671,0.53,4757,
59.68,45,215820,215940,0.001,-39.068054620000005,366.6969703674316,2672,0.52,4783,136.99862518310547
59.68,44,215920,216040,0.001,-39.257296180000004,416.36420249938965,2673,0.52,4824,134.36004180908202
59.68,44,216020,216140,0.001,-39.115820850000006,407.7808855056763,2674,0.52,4854,135.7599609375
60.0,44,216120,216240,0.001,-39.54283576,318.37798900604247,2675,0.51,4879,135.95193786621093
59.28,44,216160,216268,0.001,-38.75099336,440.9842411994934,2676,0.52,4888,133.7043197631836
59.28,44,216260,216368,0.001,-36.830534920000005,434.4939525604248,2677,0.52,4908,134.16114654541016
59.16,44,,216379,,-36.78535644,,2678,0.52,4912,
59.13,44,216280,216382,0.001,-36.78020014,622.8638592720032,2679,0.52,4914,133.34149475097655
58.83,44,,216385,,-36.73460447,,2680,0.52,4915,
59.7,43,216380,216485,0.001,-37.567913659999995,683.7122068405151,2681,0.51,4936,135.14681091308594
59.64,43,216400,216505,0.001,-37.41792272,410.2982057571411,2682,0.51,4954,134.6558044433594
60.57,43,216500,216605,0.001,-37.76537137999999,581.097652053833,2683,0.5,4973,135.61827392578124
61.36,43,216600,216705,0.001,-38.947144009999995,763.8725177764893,2684,0.49,5004,134.75694885253907
61.67,42,216700,216805,0.001,-39.55787468,528.3424388885499,2685,0.48,5046,135.05534973144532
60.85,42,216720,216823,0.001,-38.63774528,463.01674633026124,2686,0.49,5051,136.0441421508789
61.0,42,216820,216923,0.001,-38.98979788,613.3352788925171,2687,0.48,5079,136.02047882080078
61.75,42,216920,217023,0.001,-39.398445550000005,586.3135416030884,2688,0.47,5098,133.39129180908202
60.8,42,,217028,,-38.75026032,,2689,0.48,5100,
60.03,42,216940,217051,0.001,-38.01305836,507.3198522567749,2690,0.49,5107,134.1165313720703
59.64,42,,217057,,-37.729594590000005,,2691,0.49,5110,
58.93,42,216980,217086,0.001,-37.224725559999996,505.82672729492185,2692,0.5,5120,135.08775177001954
58.01,42,,217094,,-36.848436459999995,,2693,0.51,5123,
58.09,42,217000,217113,0.001,-37.01988644999999,532.8552227020264,2694,0.51,5129,135.6899398803711
