time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
2477,-547.82768328,309200,124,100.0,92,15450,2470.329345703125,0.2,0.021982967853546143,0.04416507,0.8723554015159607,-7.6937432289123535,-0.0009606322928448208,4943.60693359375,0.3239999920129776,0.0003
2509,-547.61908229,309300,123,100.0,93,15455,2478.58935546875,0.2,0.00941532850265503,0.12341963,0.871795117855072,-7.689892768859863,-0.0074904296388922376,4966.49453125,0.43199998140335083,0.0003
2556,-546.94076375,309400,121,100.0,94,15460,2525.59033203125,0.2,-0.09063804149627686,0.111071534,0.8713210821151733,-7.686239528656006,0.01062809967247631,5119.0896484375,0.41799998879432676,0.0003
2592,-547.21722607,309500,119,100.0,95,15465,2326.521728515625,0.2,0.054597675800323486,0.08270227,0.8707815408706665,-7.682927131652832,-0.009681864462618251,4646.0181640625,0.33800000250339507,0.0003
2618,-546.94904608,309600,118,100.0,96,15470,2491.129150390625,0.2,0.0035967230796813965,0.085308686,0.8702739477157593,-7.679283714294433,-0.010848208173410968,4994.54267578125,0.41799998879432676,0.0003
2647,-546.7102025600001,309700,116,100.0,97,15475,2649.5458984375,0.2,-0.07808434963226318,0.090318166,0.8699166178703308,-7.67609224319458,0.0010550783648795915,5378.8603515625,0.36599999070167544,0.0003
2678,-546.3205106,309800,115,100.0,98,15480,2492.564208984375,0.2,0.018672645092010498,0.06396843,0.8698250651359558,-7.674326038360595,-0.007527090396615676,4983.37685546875,0.38799998462200164,0.0003
2713,-546.5002150500001,309900,114,100.0,99,15485,2332.1103515625,0.2,-0.017754077911376953,0.034122143,0.8697330355644226,-7.673882579803466,-0.003939912375062704,4687.9984375,0.24399999305605888,0.0003
2754,-546.3322968,310000,112,100.0,100,15490,2572.684814453125,0.2,-0.02392756938934326,0.028199583,0.869679868221283,-7.673230266571045,0.004398791494895704,5163.937890625,0.3039999961853027,0.0003
2799,-545.8734887300001,310100,110,100.0,101,15495,2396.227783203125,0.2,0.00263214111328125,0.015004644,0.8700121641159058,-7.673630809783935,-0.003300667779694777,4795.97353515625,0.3339999884366989,0.0003
2841,-545.77748896,310200,109,100.0,102,15500,2368.70556640625,0.2,0.01907491683959961,0.10087432,0.870525598526001,-7.676734066009521,-0.014675150014227256,4749.485546875,0.493999981880188,0.0003
2873,-545.88061355,310300,107,100.0,103,15505,2635.156982421875,0.2,-0.00459599494934082,0.12323632,0.8709816932678223,-7.680118465423584,-0.015866926439230156,5271.898828125,0.4159999951720238,0.0003
2901,-546.19108221,310400,106,100.0,104,15510,2599.5576171875,0.2,-0.03946816921234131,0.0505136,0.8714367151260376,-7.683169651031494,-0.010941979475319386,5218.1533203125,0.34399999529123304,0.0003
2934,-546.119058,310500,105,100.0,105,15515,2603.078125,0.2,-0.04273021221160889,0.016370593,0.8717385530471802,-7.6861292839050295,-0.009184617500795866,5228.829296875,0.21599999368190764,0.0003
2972,-545.92545115,310600,104,100.0,106,15520,2340.419921875,0.2,0.08007282018661499,0.06107603,0.8718411326408386,-7.687643241882324,-0.010414591930748429,4676.10634765625,0.32399998903274535,0.0003
3011,-545.7719227700001,310700,103,100.0,107,15525,2287.618408203125,0.2,0.013690352439880371,0.03428205,0.8719012141227722,-7.688193893432617,-0.002340836395046608,4585.77392578125,0.29599998965859414,0.0003
3058,-545.91596367,310800,101,100.0,108,15530,2474.864013671875,0.2,-0.028155922889709473,0.07848267,0.871820330619812,-7.688329696655273,0.004870374598431227,4989.98671875,0.3599999964237213,0.0003
3087,-546.00710311,310900,100,100.0,109,15535,2528.295166015625,0.2,0.006192266941070557,0.15363298,0.8716534972190857,-7.6873924255371096,-0.009429230369642027,5110.7681640625,0.4839999794960022,0.0003
3115,-545.98469807,311000,99,100.0,110,15540,2469.95703125,0.2,-0.0019426345825195312,0.20764773,0.8715834617614746,-7.686423301696777,-0.012814840114151594,4964.66708984375,0.4119999915361404,0.0003
3143,-546.2526457600001,311100,98,100.0,111,15545,2447.799560546875,0.2,0.00411611795425415,0.071628,0.8716162443161011,-7.686180210113525,-0.008274138573688106,4890.2404296875,0.34399999380111695,0.0003
3169,-546.49071605,311200,98,100.0,112,15550,2534.703369140625,0.2,-0.0060825347900390625,0.023088012,0.8717013597488403,-7.68653039932251,-0.003867860477475915,5077.77666015625,0.24399999380111695,0.0003
3196,-546.3681452699999,311300,97,100.0,113,15555,2502.198974609375,0.2,0.019989728927612305,0.052920636,0.8719671964645386,-7.687546825408935,-0.017066610240726733,5010.3564453125,0.3939999878406525,0.0003
3219,-546.31169262,311400,96,100.0,114,15560,2507.870361328125,0.2,0.007223606109619141,0.039640594,0.8723629713058472,-7.68984022140503,0.005837807357602287,5020.3345703125,0.42799999117851256,0.0003
3246,-546.44992027,311500,95,100.0,115,15565,2537.314208984375,0.2,-0.01163625717163086,0.028325034,0.8726921081542969,-7.692598438262939,0.005426268417068059,5083.2283203125,0.35399999022483825,0.0003
3284,-546.3212088500001,311600,94,100.0,116,15570,2416.3076171875,0.2,0.005557417869567871,0.22247596,0.8730384707450867,-7.694803524017334,0.027159211636171677,4838.05625,0.5679999828338623,0.0003
3312,-546.35038511,311700,94,100.0,117,15575,2627.957763671875,0.2,-0.03906059265136719,0.042989314,0.8733084201812744,-7.696994209289551,0.005467716611747164,5270.84384765625,0.3259999960660934,0.0003
3343,-546.29865439,311800,93,100.0,118,15580,2645.130859375,0.2,-0.020559191703796387,0.07137022,0.8736046552658081,-7.6988475799560545,7.49769009416923e-05,5303.011328125,0.4159999847412109,0.0003
3370,-546.4452882999999,311900,92,100.0,119,15585,2608.157958984375,0.2,0.012214481830596924,0.09539129,0.8737245798110962,-7.700314617156982,-0.006665626943868119,5222.1568359375,0.48599997758865354,0.0003
3396,-546.2449948199999,312000,91,100.0,120,15590,2561.85302734375,0.2,0.03280562162399292,0.05984205,0.8736090660095215,-7.70035400390625,0.006378091096883054,5134.20361328125,0.44999998807907104,0.0003
3430,-546.35699806,312100,90,100.0,121,15595,2523.7998046875,0.2,0.00015038251876831055,0.11488895,0.8736509084701538,-7.699655151367187,-0.009966542351685348,5063.32822265625,0.3879999965429306,0.0003
3458,-546.16905196,312200,90,100.0,122,15600,2567.801025390625,0.2,-0.0010558366775512695,0.07713155,0.8738922476768494,-7.700350189208985,-0.023785427376424195,5135.91611328125,0.45199998617172243,0.0003
