time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
214,6900,0.06,95.74,2,20508,-7341.813658859999,20400,0.001,435256.4259765625,4498.40498046875
215,6930,0.05,96.67,2,20608,-7419.611380429999,20500,0.001,840753.34375,4470.38515625
216,6984,0.05,96.67,2,20708,-7398.656955779999,20600,0.001,514865.44599609374,4529.163818359375
217,7019,0.05,96.67,2,20808,-7382.44429932,20700,0.001,352399.192578125,4560.5640625
218,7053,0.05,96.67,2,20908,-7413.9786055800005,20800,0.001,353539.59296875,4525.663916015625
219,7105,0.04,96.88,2,21008,-7438.1549539200005,20900,0.001,333397.5078125,4581.017138671875
220,7135,0.05,96.74,2,21094,-7371.4008574,20980,0.001,437199.40390625,4534.468505859375
221,7160,0.05,96.74,2,21194,-7374.399967319999,21080,0.001,440348.2247070313,4584.5982421875
222,7192,0.05,96.74,2,21294,-7395.039374319999,21180,0.001,431429.8408203125,4596.721240234375
223,7235,0.05,96.74,2,21394,-7586.293212499999,21280,0.001,382308.6673828125,4572.866015625
224,7257,0.05,96.74,2,21494,-7532.43754195,21380,0.001,614238.3646484375,4565.79111328125
225,7293,0.05,96.74,2,21594,-7453.625273879999,21480,0.001,518546.8462890625,4576.479931640625
226,7375,0.05,96.74,2,21694,-7440.1446683899985,21580,0.001,532979.63984375,4615.117431640625
227,7424,0.05,96.74,2,21794,-7402.955497799999,21680,0.001,455649.305078125,4619.337109375
228,7451,0.05,96.74,2,21894,-7367.48647386,21780,0.001,466032.7796875,4644.12314453125
229,7514,0.05,96.74,2,21994,-7377.89908897,21880,0.001,547447.8171875,4615.43271484375
230,7538,0.05,96.74,2,22094,-7365.3168021,21980,0.001,496897.1533203125,4669.2064453125
231,7567,0.05,96.74,2,22194,-7331.976197829999,22080,0.001,548900.9078125,4645.712548828125
232,7592,0.05,96.74,2,22294,-7325.38446443,22180,0.001,668069.8958984375,4670.2154296875
233,7626,0.05,96.74,2,22394,-7340.66699792,22280,0.001,336559.21640625,4697.31025390625
234,7655,0.05,96.74,2,22494,-7325.18481784,22380,0.001,664768.74765625,4634.079345703125
235,7737,0.05,96.74,2,22594,-7298.964942040001,22480,0.001,454478.9962890625,4722.852978515625
236,7758,0.05,96.74,2,22694,-7260.01323527,22580,0.001,569550.0755859375,4720.413671875
237,7801,0.05,96.74,2,22794,-7263.838303050001,22680,0.001,492591.6615234375,4705.25458984375
238,7844,0.05,96.74,2,22894,-7268.044185160001,22780,0.001,517073.9640625,4733.40166015625
239,7889,0.05,96.74,2,22994,-7230.58941627,22880,0.001,603973.46328125,4712.573486328125
240,7917,0.05,96.74,2,23094,-7212.325859379999,22980,0.001,547360.8650390625,4731.7525390625
241,7950,0.05,96.74,2,23194,-7331.9512712099995,23080,0.001,522619.916015625,4798.310498046875
242,7989,0.05,96.74,2,23294,-7312.49012956,23180,0.001,625353.104296875,4730.776318359375
243,8026,0.05,96.74,2,23394,-7336.569818270001,23280,0.001,308706.9849609375,4793.94833984375
244,8085,0.05,96.74,2,23494,-7346.279613930001,23380,0.001,543687.491796875,4780.81767578125
245,8115,0.05,96.74,2,23594,-7353.990260080001,23480,0.001,391999.2548828125,4785.873681640625
246,8147,0.05,96.74,2,23694,-7347.424819760001,23580,0.001,389932.8470703125,4857.820166015625
247,8194,0.05,96.74,2,23794,-7289.9929330899995,23680,0.001,385807.0271484375,4841.8681640625
248,8222,0.05,96.74,2,23894,-7302.484812839999,23780,0.001,625257.3064453125,4798.907373046875
249,8244,0.05,96.74,2,23994,-7137.781729459999,23880,0.001,423054.78740234376,4847.870654296875
250,8321,0.05,96.74,2,24094,-7126.770667069999,23980,0.001,216924.201953125,4896.86220703125
251,8350,0.05,96.74,2,24194,-7375.78081959,24080,0.001,641324.3860351562,4859.533056640625
252,8373,0.05,96.74,2,24294,-7385.881664839999,24180,0.001,616704.8994140625,4820.779345703125
253,8393,0.05,96.74,2,24394,-7404.886099020001,24280,0.001,388900.2076171875,4894.258203125
