time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
3488,256040,0.001,15,16097,47.72,-55.716664789999996,312.4998718261719,255920,0.68,3264.1820434570313
3492,256207,0.001,15,16141,47.14,-52.72993151,316.66484985351565,256100,0.69,2857.822856903076
3496,256505,0.001,15,16214,47.33,-53.25769096,315.88030700683595,256400,0.69,3366.163059997559
3500,256705,0.001,15,16277,46.99,-52.728191640000006,316.39097595214844,256600,0.7,2839.8990463256837
3504,256935,0.001,15,16359,48.81,-54.36631093999999,316.35511474609376,256820,0.68,2657.97158203125
3508,257147,0.001,15,16417,48.81,-58.10220071999999,313.8040466308594,257040,0.68,2747.9230476379394
3512,257547,0.001,15,16508,50.37,-63.4033076,313.8848388671875,257440,0.66,3030.890026855469
3516,257628,0.001,15,16535,50.0,-62.698918819999996,317.00596923828124,257520,0.67,2234.47042388916
3520,257907,0.001,15,16618,50.35,-64.68463575,314.7241912841797,257800,0.68,3601.431950378418
3524,258160,0.001,15,16691,52.61,-66.05509478,318.67112426757814,258040,0.66,2500.151414489746
3528,258440,0.001,15,16778,53.64,-67.17600410000001,315.2631378173828,258320,0.66,3161.43692855835
3532,258769,0.001,15,16885,54.44,-67.15853731,319.6654876708984,258660,0.65,1689.7600555419922
3536,258873,0.001,15,16926,54.25,-65.76909708,316.8301574707031,258760,0.65,3241.891882324219
3540,259017,0.001,15,16959,52.6,-68.16741593,319.5830047607422,258900,0.67,2053.7855895996095
3544,259115,0.001,15,16988,50.39,-65.10007025,315.3811920166016,259000,0.68,3497.8021545410156
3548,259336,0.001,15,17057,51.69,-65.8612529,317.5109344482422,259220,0.66,2871.3782440185546
3552,259643,0.001,15,17150,54.15,-71.80203893999999,318.7484832763672,259540,0.63,2145.272643280029
