train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
353.0605620384216,15,100.0,270400,270280,131.71531982421874,-121.90588411999997,0.001,17584,2704,0.0
330.05779724121095,15,100.0,270800,270680,132.89041290283203,-121.90021894,0.001,17680,2708,0.0
307.98281202316286,15,100.0,271200,271080,133.77645721435547,-121.01813675,0.001,17776,2712,0.0
388.56533098220825,15,100.0,271600,271480,133.6449462890625,-120.65016518,0.001,17873,2716,0.0
310.40910444259646,15,100.0,272000,271880,134.71417541503905,-119.59719499,0.001,17987,2720,0.0
260.59115114212034,15,100.0,272400,272280,132.4932861328125,-119.97191605,0.001,18084,2724,0.0
252.94490518569947,14,100.0,272800,272680,134.60649719238282,-120.06860042000002,0.001,18190,2728,0.0
248.3388376235962,14,100.0,273200,273080,133.73894195556642,-121.00519774000003,0.001,18281,2732,0.0
489.4366891860962,14,100.0,273600,273480,132.85588684082032,-121.6989785,0.001,18401,2736,0.0
399.85539722442627,14,100.0,274000,273880,133.40386962890625,-121.99203000000001,0.001,18508,2740,0.0
272.9761801719666,14,100.0,274400,274280,133.55797576904297,-121.92633208,0.001,18592,2744,0.0
215.8389256477356,14,100.0,274800,274680,133.9132293701172,-121.3251664,0.001,18690,2748,0.0
315.6630044937134,14,100.0,275200,275080,134.0393096923828,-121.82464388999999,0.001,18807,2752,0.0
281.40038204193115,14,100.0,275600,275480,133.74612884521486,-121.49457332999998,0.001,18899,2756,0.0
312.13788809776304,14,100.0,276000,275880,132.17110595703124,-120.90160963999999,0.001,19021,2760,0.0
349.8225518226624,14,100.0,276400,276280,133.80629119873046,-122.06292492,0.001,19124,2764,0.0
386.8595363616943,14,100.0,276800,276680,133.10331268310546,-120.91181018000002,0.001,19231,2768,0.0
327.64936447143555,14,100.0,277200,277080,132.64203186035155,-120.74254623,0.001,19357,2772,0.0
365.7922471046448,14,100.0,277600,277480,133.9886276245117,-120.64201596999999,0.001,19468,2776,0.0
473.982523059845,14,100.0,278000,277880,131.9922607421875,-120.91677258,0.001,19562,2780,0.0
327.02806129455564,14,100.0,278400,278280,133.26753845214844,-119.69665527,0.001,19673,2784,0.0
344.38465785980225,14,100.0,278800,278680,132.58282623291015,-118.85808529,0.001,19784,2788,0.0
337.8175210952759,14,100.0,279200,279080,132.60020141601564,-118.14904101999998,0.001,19883,2792,0.0
248.6756245613098,13,100.0,279600,279480,132.61882476806642,-117.41138357,0.001,20019,2796,0.0
290.55431337356566,13,100.0,280000,279880,133.4633056640625,-119.06920689,0.001,20107,2800,0.0
368.35953216552736,13,100.0,280400,280280,131.6703353881836,-120.45199054000001,0.001,20206,2804,0.0
371.8532173156738,13,100.0,280800,280680,132.19004516601564,-120.55222852000001,0.001,20308,2808,0.0
476.2942698478699,13,100.0,281200,281080,132.94712829589844,-121.04798567000002,0.001,20417,2812,0.0
292.223556804657,13,100.0,281600,281480,132.71168518066406,-121.20544448000001,0.001,20501,2816,0.0
415.5693019866943,13,100.0,282000,281880,132.72332000732422,-121.73792252999999,0.001,20606,2820,0.0
514.7479642868042,13,100.0,282400,282280,132.4802032470703,-120.64323771000001,0.001,20703,2824,0.0
383.3448324203491,13,100.0,282800,282680,132.27225341796876,-121.34838684000002,0.001,20794,2828,0.0
356.4323781013489,13,100.0,283200,283080,133.49054260253905,-121.67680561000002,0.001,20870,2832,0.0
266.0573528289795,13,100.0,283600,283480,133.15340881347657,-120.79612631999998,0.001,20987,2836,0.0
423.9983125686646,13,100.0,284000,283880,132.34307098388672,-119.4929342,0.001,21104,2840,0.0
330.1026530265808,13,100.0,284400,284280,132.98870849609375,-119.08372749,0.001,21209,2844,0.0
264.8662202835083,13,100.0,284800,284680,133.10857849121095,-119.30878432,0.001,21308,2848,0.0
324.48471584320066,13,100.0,285200,285080,133.06512603759765,-118.65353266000002,0.001,21410,2852,0.0
474.4614641189575,13,100.0,285600,285480,131.58173675537108,-118.24208944999998,0.001,21526,2856,0.0
460.5295974731445,13,100.0,286000,285880,131.93071441650392,-119.39459433,0.001,21615,2860,0.0
365.2673848152161,13,100.0,286400,286280,131.7397430419922,-119.35523015999999,0.001,21700,2864,0.0
325.9942476272583,13,100.0,286800,286680,131.76703796386718,-119.15385611000002,0.001,21795,2868,0.0
351.90394706726073,13,100.0,287200,287080,132.34268188476562,-119.61378112,0.001,21912,2872,0.0
371.4381049156189,13,100.0,287600,287480,131.334521484375,-119.48808549999998,0.001,22022,2876,0.0
387.331955909729,13,100.0,288000,287880,130.63983917236328,-118.87153250999998,0.001,22134,2880,0.0
451.1362958908081,12,100.0,288400,288280,130.9370361328125,-119.17881401999999,0.001,22241,2884,0.0
441.92039642333987,12,100.0,288800,288680,131.3387023925781,-119.55829243,0.001,22356,2888,0.0
362.7664290428162,12,100.0,289200,289080,130.93860549926757,-118.88586744000003,0.001,22470,2892,0.0
283.16273231506347,12,100.0,289600,289480,131.2509536743164,-118.14408749,0.001,22573,2896,0.0
280.2168577194214,12,100.0,290000,289880,131.51047058105468,-117.90770126999998,0.001,22670,2900,0.0
252.5659810066223,12,100.0,290400,290280,131.82039794921874,-116.97779919999999,0.001,22768,2904,0.0
322.3409584999084,12,100.0,290800,290680,131.92676696777343,-117.4187991,0.001,22855,2908,0.0
326.153102016449,12,100.0,291200,291080,131.82916717529298,-116.84621652,0.001,22965,2912,0.0
284.9239713668823,12,100.0,291600,291480,132.09187774658204,-116.40356933999998,0.001,23077,2916,0.0
358.13827562332153,12,100.0,292000,291880,131.5903335571289,-116.15247681000001,0.001,23170,2920,0.0
286.5587384223938,12,100.0,292400,292280,131.9159164428711,-117.82389131999999,0.001,23260,2924,0.0
253.90209941864015,12,100.0,292800,292680,131.799755859375,-117.96697346999997,0.001,23346,2928,0.0
362.78908081054686,12,100.0,293200,293080,132.18783111572264,-116.88278663000001,0.001,23444,2932,0.0
339.42025022506715,12,100.0,293600,293480,132.1274215698242,-116.49528829000002,0.001,23542,2936,0.0
367.6330434799194,12,100.0,294000,293880,131.41402587890624,-118.69104352000002,0.001,23635,2940,0.0
446.0392063140869,12,100.0,294400,294280,131.11674957275392,-117.95348831000003,0.001,23742,2944,0.0
336.1356406211853,12,100.0,294800,294680,130.5196159362793,-118.46750758000002,0.001,23884,2948,0.0
276.1113758087158,12,100.0,295200,295080,131.82547607421876,-118.71478703000001,0.001,24007,2952,0.0
293.446169757843,12,100.0,295600,295480,131.0603790283203,-119.56867625999999,0.001,24089,2956,0.0
194.96333847045898,12,100.0,296000,295880,131.25465087890626,-119.08804827,0.001,24208,2960,0.0
455.17517652511594,12,100.0,296400,296280,130.46724700927734,-116.56404473999999,0.001,24313,2964,0.0
396.75800075531004,12,100.0,296800,296680,131.26224822998046,-117.06766195,0.001,24406,2968,0.0
207.81515636444092,12,100.0,297200,297080,130.82662506103514,-116.77918245999999,0.001,24509,2972,0.0
419.35818271636964,12,100.0,297600,297480,130.86333160400392,-117.46076380000002,0.001,24613,2976,0.0
348.35362615585325,12,100.0,298000,297880,130.80071716308595,-117.48658898000002,0.001,24729,2980,0.0
368.3308289527893,12,100.0,298400,298280,131.11622619628906,-115.98413049000001,0.001,24846,2984,0.0
305.47119827270507,11,100.0,298800,298680,131.07488784790038,-117.0668463,0.001,24937,2988,0.0
309.3727038383484,11,100.0,299200,299080,130.75124969482422,-116.88247679000001,0.001,25045,2992,0.0
402.55564460754397,11,100.0,299600,299480,130.19861297607423,-118.37028916000001,0.001,25136,2996,0.0
405.79211044311523,11,100.0,300000,299880,130.6404556274414,-116.25044674,0.001,25249,3000,0.0
